Time,V1,V2,V3,V4,V5,V6,V7,V8
0.0,-2.9032429285757254e-14,-338.7371511861289,338.73715118612876,-2.4557453829364887e-11,-1.6852594586620149,1.6852594586128993,3.661919054724727e-12,3.661919054724727e-12
1e-05,1.474559457911081,-338.12845459672275,336.6538951388116,0.007336116753715152,-2.664521798694609,2.6571856820837074,7.143086447906901e-12,7.564790259136619e-12
2e-05,2.9432492569472917,-337.5179162521528,334.5746669952065,0.018919048718552874,-1.9622720080538794,1.9433529593803518,7.519072611725367e-12,8.141086913300716e-12
3.0000000000000004e-05,4.406074197090326,-336.9035794783901,332.49750528129977,0.02741971822130312,-1.9627552950151932,1.9353355767160492,7.953109424028098e-12,8.059818156784854e-12
4e-05,5.86303055022251,-336.2868407500871,330.4238101998658,0.035903928986428926,-1.9577061402305054,1.9218022112709037,8.368232085301042e-12,8.420003389293831e-12
5e-05,7.314120675365762,-335.667691275621,328.3535706002558,0.044347633664035845,-1.954110109694108,1.9097624762651726,9.01362278248767e-12,9.499323049942603e-12
6e-05,8.759347021374127,-335.0675962913709,326.2867865960275,0.052823983860238455,-12.703417519753772,1.8977938767331142,0.021828437062993408,-0.02169429533174622
7.000000000000001e-05,10.198914170399053,-334.465030518887,324.22354213726953,0.16253279324420464,-1.9588259322823314,1.9292872916823978,0.10550114599931547,-0.10496677374320836
8e-05,11.632246783943785,-333.83892536875373,322.1641225939807,-0.11805773216335153,-2.152853744771397,2.061897313628784,0.23598113746229274,-0.23491470145088436
9e-05,13.058797575911214,-333.2111093304449,320.10878825915194,-0.2845132896881698,-2.3022470878411414,2.2259427769333184,0.38081745597385613,-0.37921302317006195
0.0001,14.478833974016787,-332.5814997402007,318.05756110393475,-0.4341922737774574,-2.4563941794391,2.3721924651478457,0.5409459047163158,-0.5387875459268546
0.00011,15.892362643836696,-331.9501353730374,316.0104328414901,-0.5998447643982336,-2.6265474366580728,2.534728907570458,0.7164656968096987,-0.7137295595869636
0.00012,17.299326124708866,-331.3170760391943,313.9674614523381,-0.7808358953190473,-2.8120355533280406,2.712619173495545,0.9072579830194484,-0.9039116686109118
0.00013000000000000002,18.6996690042363,-330.68237940359637,311.9287023672574,-0.9768910506434796,-3.012539642776599,2.9056014974403115,1.1132125602758027,-1.109214392779508
0.00014000000000000001,20.09333686434641,-330.04610211302446,309.8942101371907,-1.1878990358321837,-3.2279485768228735,3.113573973573416,1.3342200721334307,-1.3295183849952912
0.00015000000000000001,21.48027596749906,-329.4083001994288,307.8640387416864,-1.4137413046233556,-3.4581437314106314,3.336428696777259,1.5701705693388746,-1.564703003450763
0.00016,22.860433272250653,-328.76902906367013,305.83824157772597,-1.6542969571500004,-3.7030042209343588,3.5740560840969318,1.820953594305079,-1.8146464052712683
0.00017,24.233756438236167,-328.12834347116814,303.81687145683594,-1.909443978270119,-3.962408043764526,3.8263461237791994,2.086458197777497,-2.0792255725489204
0.00018,25.600193518663264,-327.48629785966256,301.8498706276433,-2.1792143345922317,-4.236387181535126,29.08808949737667,2.3094088708619545,-2.3014640625686504
0.00019,26.959919165276673,-326.84272013429836,299.87678797346734,-2.35015658350661,-4.411490206468419,-0.8427289987022494,2.3935858166211093,-2.3853769663987707
0.0002,28.31360185458285,-326.1969444416322,297.8475998408898,-2.2879693614595586,-4.353415770357874,-0.6608701270177935,2.3906093394595263,-2.3821395158462497
