Time,V1,V2,V3,V4,V5,V6,V7,V8
0.0,-1.6940658945086007e-21,-338.737151186088,338.7371511860879,-4.336808689942018e-19,-1.6852594586372542,1.6852594586372536,-8.673617379884035e-19,-8.673617379884035e-19
1e-05,1.4745594579109722,-338.128454596723,336.6538951388119,0.007336116706024735,-2.6645217987420673,2.6571856820360424,-5.204170427930421e-18,-1.3010426069826053e-18
2e-05,2.943249256946651,-337.5179162521518,334.57466699520506,0.01891904871240866,-1.9622720080655447,1.943352959353135,-1.214306433183765e-17,-2.6020852139652106e-18
3.0000000000000004e-05,4.40607419708782,-336.90357947839135,332.4975052813036,0.027419718235107658,-1.9627552949940097,1.9353355767588996,-2.2985086056692694e-17,-6.071532165918825e-18
4e-05,5.863030550220245,-336.28684075008846,330.42381019986806,0.035903928984470146,-1.9577061402366072,1.921802211252136,-4.90059381963448e-17,-6.938893903907228e-18
5e-05,7.3141206753758095,-335.6676912756169,328.353570600241,0.044347633583800554,-1.9541101097732447,1.9097624761894476,-8.977193988179977e-17,0.0
6e-05,8.759347021373433,-335.0675962913712,326.28678659602775,0.05282398392502933,-12.703417519668601,1.8977938768056102,0.021828437053775747,-0.021694295341463787
7.000000000000001e-05,10.19891417039212,-334.4650305188772,324.2235421372724,0.16253279312045885,-1.9588259323764505,1.9292872916092556,0.10550114599288041,-0.1049667737481768
8e-05,11.632246783953603,-333.83892536874964,322.1641225939657,-0.11805773210723705,-2.1528537446753986,2.0618973136726937,0.23598113745925098,-0.23491470145177926
9e-05,13.058797575935374,-333.21110933043616,320.10878825911533,-0.2845132896151902,-2.3022470878263723,2.225942776807119,0.38081745597974154,-0.3792130231834237
0.0001,14.478833974134066,-332.58149974015015,318.0575611037683,-0.43419227384940673,-2.456394179496775,2.372192465195673,0.5409459047308297,-0.5387875459493071
0.00011,15.892362643897185,-331.9501353730113,316.01043284140303,-0.5998447644844069,-2.6265474367069026,2.5347289076825517,0.7164656968244099,-0.7137295596056468
0.00012,17.29932612471933,-331.3170760391908,313.9674614523227,-0.7808358952951279,-2.8120355533198773,2.7126191734722935,0.9072579830330968,-0.9039116686277122
0.00013000000000000002,18.6996690040863,-330.6823794036625,311.92870236747336,-0.9768910508269886,-3.0125396428830333,2.9056014975867006,1.1132125602885408,-1.1092143927940872
0.00014000000000000001,20.09333686434599,-330.04610211302355,309.89421013719203,-1.1878990356775334,-3.227948576733107,3.1135739735254617,1.3342200721488873,-1.3295183850070094
0.00015000000000000001,21.480275967516828,-329.4083001994233,307.8640387416672,-1.413741304649529,-3.458143731514262,3.336428696413841,1.5701705693622126,-1.564703003459556
0.00016,22.860433272243704,-328.76902906367445,305.83824157773313,-1.6542969571358899,-3.7030042208160063,3.57405608461061,1.8209535943316217,-1.8146464052793605
0.00017,24.23375643823981,-328.1283434711674,303.81687145682605,-1.909443978302546,-3.9624080438155893,3.826346123706964,2.086458197799175,-2.0792255725606705
0.00018,25.60019351866137,-327.4862978596643,301.84987062764594,-2.179214334632844,-4.236387181582764,29.08808949746846,2.309408870881284,-2.301464062583665
0.00019,26.959919165277,-326.84272013429955,299.87678797346865,-2.3501565834801044,-4.411490206439961,-0.8427289987467508,2.3935858166423865,-2.3853769664140754
0.0002,28.313601854578366,-326.19694444163565,297.8475998408913,-2.287969361576627,-4.35341577047453,-0.6608701270230073,2.390609339478927,-2.382139515864868
0.00021,29.661780499074275,-325.5484345585342,295.82231604947975,-2.190531467317723,-4.260042687823102,-0.6448832490340672,2.389956361734423,-2.3808610333944524
0.00022,31.004345984549236,-324.89730235506073,293.8005456512166,-2.183550647700179,-4.257078721611321,-0.6570166131544182,2.3898745637895606,-2.3797995558916223
0.00023,32.3411223069806,-324.2437266577298,291.8804753562655,-2.175052307832569,-4.252549293464755,48.551570275577866,2.43809726845043,-2.4273063873413756
