Time,V1,V2,V3,V4,V5,V6,V7,V8
0.0,-2.9294699572982237e-21,-338.73378739476016,338.73378739476,-1.46766444860641e-18,-3.3873378753813925e-09,3.387337872446062e-09,-1.4676644486210575e-18,-1.834558179166515e-23
1e-05,1.4745448149634846,-338.11642203561235,336.6418772206487,1.4745441034895777e-11,-1.0155839975196613e-08,1.0141094512817938e-08,-7.114591612539663e-18,-1.2562201514413885e-22
2e-05,2.9431822669343934,-337.49669660789243,334.553514340958,5.892269534475634e-11,-1.6911971177869365e-08,1.685304841165568e-08,-2.3622973145795495e-17,-5.09833746689806e-22
3.0000000000000004e-05,4.405914981952345,-336.8746101575372,332.4686951755849,1.324136479035708e-10,-2.365568426504612e-08,2.352327048648921e-08,-4.355111273500981e-17,-1.3494868305885243e-21
4e-05,5.862745576169439,-336.2501618030078,330.38741622683824,2.3510023369020847e-10,-3.0386932003902053e-08,3.0151831580185785e-08,-6.334201775030024e-17,-2.6856009238920978e-21
5e-05,7.313676656187551,-335.6233507351464,328.3096740789587,3.6686443103060257e-10,-3.7105667153585825e-08,3.673880245759769e-08,-8.831917394480468e-17,-4.5812755528271996e-21
6e-05,8.758820124918321,-334.99428552392084,326.2355747031629,0.05476206807251121,-0.05476279450252362,0.05476211082917676,0.05476206754546935,-0.054762750691227824
7.000000000000001e-05,10.19772601014803,-334.3631985801111,324.16534792191965,-0.17175224221392618,-0.17175229343430892,0.17175170545945984,0.17175165567400835,-0.17175224293170344
8e-05,11.630024452421193,-333.73024314133033,322.09914440920534,-0.30426883271104815,-0.30426889083064285,0.3042757958903328,0.3042757396469967,-0.30426883365186314
9e-05,13.055876430463645,-333.09547976811433,320.0370221991589,-0.4528526356746013,-0.4528527007093122,0.4528824518133164,0.45288238915619017,-0.4528526368698465
0.0001,14.475222829167667,-332.4589696899951,317.9790400331687,-0.6173849655626972,-0.6173850375282636,0.617460338042827,0.6174602690162435,-0.6173849670439557
0.00011,15.888005248585452,-331.8207734853039,315.92525603954584,-0.7977457857158754,-0.7977458646278714,0.7978975336083517,0.7978974582568789,-0.7977457875149175
0.00012,17.294166006729608,-331.18095107855373,313.87572773349245,-0.9938137263572562,-0.9938138122310912,0.9940815403048969,0.9940814586733341,-0.9938137285060357
0.00013000000000000002,18.693648142290375,-330.53956173790124,311.83051201710254,-1.2054661026567524,-1.2054661955076706,1.2058992912409765,1.205899203374351,-1.205466105187403
0.00014000000000000001,20.086395417269788,-329.89666407269175,309.78966517939654,-1.4325789328572678,-1.4325790327003487,1.4332371593837148,1.433237065327279,-1.432578935802099
0.00015000000000000001,21.472352319532764,-329.2523160310843,307.7532428963888,-1.6750269564608153,-1.6750270633109736,1.6759809661006382,1.6759808658998654,-1.6750269598523102
0.00016,22.85146406527525,-328.6065748977586,305.7213002311881,-1.932683652472492,-1.9326837663444774,1.9340159896977223,1.934015883398304,-1.932683656343302
0.00017,24.223676601409483,-327.959497291703,303.69389163413007,-2.205421257700238,-2.205421378608636,2.2072269739532824,2.2072268616011246,-2.205421262083181
0.00018,25.58923201998317,-327.31084375196593,301.66140905204975,-2.345109314680756,-2.345109442639986,-2.3451092012002435,2.347553242409961,-2.345109319607333
0.00019,26.948682455248626,-326.66006484075734,299.62334114454507,-2.344065487227377,-2.3440656222516956,-2.3440653682593964,2.347435940324832,-2.344065492726225
0.0002,28.30231296766593,-326.00687825961313,297.5888112016743,-2.3426744967997717,-2.342674638903269,-2.3426743724121795,2.347318671607057,-2.342674502897997
0.00021,29.650127273159203,-325.35128312030423,295.5578182654834,-2.3409379462414672,-2.3409380954380707,-2.340937816501933,2.347201444914735,-2.340937952966053
